iter	MultiClass
520	0.1564166768
521	0.1563373302
522	0.1562614162
523	0.1561822243
524	0.1560861074
525	0.1560015028
526	0.1559109067
527	0.1558192603
528	0.1557106666
529	0.1555959641
530	0.1554904874
531	0.1554099134
532	0.1553066119
533	0.1551840719
534	0.155077229
535	0.1549896667
536	0.1548844173
537	0.1548166109
538	0.1546945513
539	0.1545940857
540	0.1545266993
541	0.1544141363
542	0.1543060463
543	0.1542561198
544	0.1541923823
545	0.1541275877
546	0.1540614205
547	0.1540005093
548	0.1539008493
549	0.1538148954
550	0.1537234273
551	0.1536228556
552	0.1535330939
553	0.1534265224
554	0.1533574483
555	0.1532519314
556	0.1531656989
557	0.1530726327
558	0.1529885992
559	0.1529049627
560	0.1528237854
561	0.1527527977
562	0.1526596528
563	0.1525948526
564	0.1525164637
565	0.1523896533
566	0.1523207732
567	0.1522447759
568	0.1521521328
569	0.1520769464
570	0.1519752898
571	0.1518697579
572	0.1517926966
573	0.1517155536
574	0.1516323737
575	0.1515671214
576	0.1515015296
577	0.1514039464
578	0.1513416088
579	0.1512702706
580	0.1511906031
581	0.1511166463
582	0.1510313018
583	0.1509497423
584	0.1508723838
585	0.1507876271
586	0.1507115138
587	0.1506331638
588	0.150539548
589	0.1505038566
590	0.150426682
591	0.1503147064
592	0.1502494482
593	0.150165592
594	0.1501031826
595	0.1500244196
596	0.1499447382
597	0.1498721311
598	0.149777328
599	0.1496882547
